date;shareprice
2012-09-18;470.619
2012-09-17;474.935

2012-09-14;475.912
2012-09-13;462.638
2012-09-12;463.453
2012-09-11;459.788
2012-09-10;459.055

2012-09-07;458.892
2012-09-06;452.052
2012-09-05;440.569
2012-09-04;443.501
2012-09-03;448.713

2012-08-31;445.537
2012-08-30;446.188
2012-08-29;450.912
2012-08-28;454.739

2012-08-24;453.599
2012-08-23;455.309
2012-08-22;455.553
2012-08-21;462.475
2012-08-20;458.567

2012-08-17;464.186
2012-08-16;459.951
2012-08-15;457.834
2012-08-14;458.699
2012-08-13;456.039

2012-08-10;456.926
2012-08-09;456.281
2012-08-08;454.104
2012-08-07;452.008
2012-08-06;451.686

2012-08-03;451.847
2012-08-02;434.273
2012-08-01;435.804
2012-07-31;430.403
2012-07-30;437.82

2012-07-27;428.146
2012-07-26;423.793
2012-07-25;417.263
2012-07-24;411.62
2012-07-23;414.845

2012-07-20;429.839
2012-07-19;442.899
2012-07-18;439.916
2012-07-17;441.286
2012-07-16;448.864

2012-07-13;451.444
2012-07-12;448.139
2012-07-11;458.457
2012-07-10;456.522
2012-07-09;452.331

2012-07-06;455.958
2012-07-05;456.603
2012-07-04;457.57
2012-07-03;459.747
2012-07-02;459.586

2012-06-29;452.331
2012-06-28;449.993
2012-06-27;461.924
2012-06-26;450.96
2012-06-25;450.073

2012-06-22;453.298
2012-06-21;450.799
2012-06-20;455.716
2012-06-19;451.847
2012-06-18;440.722

2012-06-15;440.48
2012-06-14;439.755
2012-06-13;439.352
2012-06-12;434.595
2012-06-11;430.323

2012-06-08;428.388
2012-06-07;431.29
2012-06-06;424.841
2012-06-04;

2012-06-01;405.654
2012-05-31;410.733
2012-05-30;405.896
2012-05-29;414.683
2012-05-28;411.459

2012-05-25;414.28
2012-05-24;415.006
2012-05-23;409.121
2012-05-22;421.616
2012-05-21;413.877

2012-05-18;410.814
2012-05-17;419.923
2012-05-16;430.645
2012-05-15;436.999
2012-05-14;435.483

2012-05-11;442.185
2012-05-10;444.021
2012-05-09;439.792
2012-05-08;437.717
2012-05-07;

2012-05-04;442.903
2012-05-03;449.446
2012-05-02;447.93
2012-05-01;450.802
2012-04-30;442.903

2012-04-27;446.334
2012-04-26;440.909
2012-04-25;442.265
2012-04-24;441.627
2012-04-23;435.403

2012-04-20;443.462
2012-04-19;442.505
2012-04-18;440.43
2012-04-17;442.106
2012-04-16;431.893

2012-04-13;433.409
2012-04-12;437.239
2012-04-11;431.574
2012-04-10;428.462
2012-04-09;

2012-04-05;442.425
2012-04-04;444.26
2012-04-03;445.935
2012-04-02;445.776

2012-03-30;442.664
2012-03-29;436.52
2012-03-28;447.93
2012-03-27;450.404
2012-03-26;447.611

2012-03-23;445.457
2012-03-22;449.526
2012-03-21;452.717
2012-03-20;451.042
2012-03-19;461.015

2012-03-16;463.09
2012-03-15;458.622
2012-03-14;458.781
2012-03-13;449.602
2012-03-12;436.799

2012-03-09;437.427
2012-03-08;436.72
2012-03-07;432.557
2012-03-06;430.751
2012-03-05;438.762

2012-03-02;446.931
2012-03-01;446.382
2012-02-29;436.17
2012-02-28;439.312
2012-02-27;434.757

2012-02-24;451.566
2012-02-23;451.958
2012-02-22;452.115
2012-02-21;455.179
2012-02-20;456.907

2012-02-17;453.765
2012-02-16;450.544
2012-02-15;452.351
2012-02-14;441.04
2012-02-13;443.318

2012-02-10;437.977
2012-02-09;446.146
2012-02-08;444.182
2012-02-07;441.433
2012-02-06;437.898

2012-02-03;439.469
2012-02-02;428.63
2012-02-01;425.645
2012-01-31;416.062
2012-01-30;414.334

2012-01-27;425.017
2012-01-26;423.76
2012-01-25;421.796
2012-01-24;424.231
2012-01-23;428.002

2012-01-20;425.959
2012-01-19;421.325
2012-01-18;404.987
2012-01-17;406.48
2012-01-16;398.782

2012-01-13;396.426
2012-01-12;392.42
