test date coco ed cd sa
203 2015-08-18 63.9653740497029 60.1152167238639 NA 68.5861484776716
204 2015-08-17 64.1002628373614 60.5109057499935 NA 68.6569966817566
205 2015-08-14 64.1539052989043 60.6093489580409 NA 67.4262324032243
206 2015-08-13 64.2485882956879 61.3443195816072 NA 67.3447905520233
207 2015-08-12 64.4263972374984 60.4144228472215 NA 67.1051511994519
208 2015-08-11 64.5513520457319 63.7038312110513 NA 70.1860185716423
209 2015-08-10 65.1376737004632 65.2459679955239 NA 70.6995716267412
210 2015-08-07 65.202637192166 66.0601758409327 NA 69.9063333272978
211 2015-08-06 65.1486809004709 66.6647370728362 NA 63.9565174366194
212 2015-08-05 64.6546200179418 67.5939539822836 NA 69.1708723155851
213 2015-08-04 65.5532760610335 64.8121478824632 NA 70.3383262003497
214 2015-08-03 65.3050771496254 64.6057995707553 NA 66.1854813418806
215 2015-07-31 64.718697936691 64.2371579061908 NA 66.5705858691275
216 2015-07-30 64.3859311935422 63.6339918996766 NA 68.6417533967156
217 2015-07-29 64.5367412140575 63.4940993307238 NA 74.1175317065959
218 2015-07-28 65.7894736842105 62.766491585278 NA 71.4642832263208
219 2015-07-27 64.7579920400565 60.5363152595437 NA 67.2641669239857
220 2015-07-24 66.1399548532731 61.8159703795945 NA 71.7789000508184
221 2015-07-23 65.6072900566718 64.1216250546709 NA 71.1874274918021
222 2015-07-22 65.1749728104408 63.7038312110513 NA 70.4631116074105
223 2015-07-21 65.6654456654457 65.767375533364 NA 67.3365205561614
224 2015-07-20 66.5597742432016 65.8350578010102 NA 67.0615066879721
225 2015-07-17 65.2465937440031 64.3524953954339 NA 67.2251955174533
226 2015-07-16 66.2198563365829 64.6746519536988 NA 68.3853326464478
227 2015-07-15 65.093493852459 62.7428999616812 NA 67.2036961134041
228 2015-07-14 65.1470777135517 62.6009262118719 NA 67.8824264923318
229 2015-07-13 66.5013525698828 63.1897643692726 NA 68.3573240569365
230 2015-07-10 65.4500902759866 60.9249497439451 NA 65.4270549319703
231 2015-07-09 65.3473711574706 60.5119537471672 NA 69.201893394554
232 2015-07-08 65.2563016999935 59.3320119450826 NA 69.9547702208224
233 2015-07-07 66.2332187560802 59.1831858515162 NA 66.0451792779591
234 2015-07-06 65.2159979489809 61.5041310271477 NA 71.3800718818041
235 2015-07-02 65.0432553668696 63.8435461214164 NA 68.9664209460359
236 2015-07-01 64.8467984391991 62.1740123182069 NA 66.4312959393267
237 2015-06-30 64.2126009282218 61.983167164018 NA 67.3471196182757
238 2015-06-29 64.9453760162602 63.6339918996766 NA 65.8655153643876
239 2015-06-26 65.0073113357493 66.5530401022431 NA 66.2984515072687
240 2015-06-25 65.186975324345 67.5280255172217 NA 71.3756267683992
241 2015-06-24 65.2830788804071 69.2433438417209 NA 70.3719345566937
242 2015-06-23 65.2222010299447 68.9642318591062 NA 67.4454467303276
243 2015-06-22 64.4952272583602 69.2004804672715 NA 71.2537050388856
244 2015-06-19 63.6250314782171 66.7537695121278 NA 71.7325172674687
245 2015-06-18 63.598010200869 66.0376978580086 NA 68.4960745964473
246 2015-06-17 64.2902609802673 66.7537695121278 NA 65.4375268043911
247 2015-06-16 64.47814679721 67.6598172384348 NA 68.8346598358534
248 2015-06-15 65.3069103075537 68.7703058204908 NA 71.2273728985924
249 2015-06-12 65.4387204522097 70.4119247119899 NA 68.0049616716383
250 2015-06-11 65.8361840831343 71.1654281931745 NA 68.7152847718608
251 2015-06-10 65.3432855028634 71.6010593419531 NA 72.5883134615104
252 2015-06-09 66.5926748057714 71.6630219788157 NA 68.3210343499854
253 2015-06-08 67.107502946183 72.8500579248992 NA 68.2122603692803
254 2015-06-05 66.9247424709665 72.7281222563886 NA 69.7619638733909
255 2015-06-04 66.7914090465343 72.707813477385 NA 67.1550530403611
256 2015-06-03 67.0223077424826 74.0152845913778 NA 72.0678277887707
257 2015-06-02 67.1929023419662 73.8359310544538 NA 69.2731748241843
258 2015-05-29 67.1525247267048 73.495550505733 NA 70.4143339315794
259 2015-05-28 67.0223841749089 73.6758647406598 NA 68.3528637399403
260 2015-05-27 67.2175950026028 74.0152845913778 NA 70.8831877923989
261 2015-05-26 67.3477355543988 72.3411523183945 NA 68.2085924939209
262 2015-05-22 67.1525247267048 73.0726073341372 NA 68.2898748124904
263 2015-05-21 67.2663977095263 71.8279657713725 NA 71.7371363057199
264 2015-05-20 67.3477355543988 72.2323290323088 NA 68.3737282211408
265 2015-05-19 67.8357626236335 70.963790403099 NA 64.8347169351295
266 2015-05-18 67.1648880791254 71.3552901308781 NA 67.6469733088135
267 2015-05-15 67.1850598646538 71.0050650839932 NA 70.2019397609508
268 2015-05-14 67.1037220197814 71.1495439513438 NA 64.4209200367898
269 2015-05-13 68.1611140031234 70.4035510574819 NA 70.6375026216442
270 2015-05-12 66.9898490369599 71.642152311689 NA 68.9052939437248
271 2015-05-11 67.4290733992712 74.1091520404344 NA 69.2441895013276
272 2015-05-08 67.1037220197814 75.8171674465277 NA 69.6743784074022
273 2015-05-07 66.859708485164 73.8331414009238 NA 70.0395685501978
274 2015-05-06 67.1850598646538 74.1288059957009 NA 70.7203297745802
275 2015-05-05 67.8357626236335 72.8374170636715 NA 62.1010984089075
276 2015-05-04 67.2696512233212 72.8374170636715 NA 66.4300714640344
277 2015-04-30 67.3477355543988 77.1432343329103 NA 67.4855654677418
278 2015-04-29 67.2964928173936 76.7107652249235 NA 70.6600791486327
279 2015-04-28 67.8673975463326 77.011993972718 NA 73.2228546118251
280 2015-04-27 68.1250410886858 77.367776178411 NA 72.0263720798737
281 2015-04-24 68.4141114408177 73.5955726862643 NA 74.0711662270588
282 2015-04-23 68.6694566228245 70.0274419561103 NA 67.0476063462095
283 2015-04-22 69.6362064378824 69.0347563422506 NA 65.7614053393572
284 2015-04-21 69.1421683519721 70.2365326802294 NA 70.4367668949624
285 2015-04-20 69.2926583975863 70.2574050037692 NA 70.5077735868056
286 2015-04-17 68.8456653966981 67.4191836081279 NA 69.1367242774044
287 2015-04-16 69.4341902141083 68.8855253807128 NA 65.6782896598782
288 2015-04-15 70.0934579439252 71.1701256040068 NA 64.940612414216
289 2015-04-14 70.2332657200811 70.8811622996065 NA 70.9475194746473
290 2015-04-13 70.9431771615899 71.2318314059648 NA 68.3344911075026
291 2015-04-10 70.8995972971128 70.0064960633422 NA 67.3614136880348
292 2015-04-09 70.5706724570808 68.2856738131999 NA 73.5029884145089
293 2015-04-08 70.1889573840793 64.5227879748382 NA 65.3099358233887
294 2015-04-07 69.6125907990315 64.5000409416523 NA 67.2890398404851
295 2015-04-06 69.5474777448071 64.5000409416523 NA 69.7347107661642
296 2015-04-02 69.5474777448071 63.444642472017 NA 68.8298064013367
297 2015-04-01 69.5936825053996 62.5836357492934 NA 69.183723551267
298 2015-03-31 66.5005501262054 61.4979316056813 NA 68.6369126040207
299 2015-03-30 67.4713610769529 63.675303323269 NA 67.1553316221609
